cropedno,faculty,semester,subject,year,imagecropped,desc,keyword,fullpaperid
154,BCE,1,DSA,"",ioepng/153.png,"‘8. Explain the IPv6 datagram format andthe function of each field with necessary figure. = [8] ee eae    ","ipv6 datagram field format eae",1
155,BCE,1,DSA,"",ioepng/154.png,"What do you mean by protocol and interfaces? Write the protocols used in each layer of ICP/AP model. [44]    ","protocols protocol interfaces icp layer",1
156,BCE,1,DSA,"",ioepng/155.png,"2. How do you define network topology? Discuss the types of network topologies based on its size and geographical distributions. B+)    ","topologies topology network geographical distributions",1
157,BCE,1,DSA,"",ioepng/156.png,"   7. Oe ee ee  sub-netting with example. [444] 10, Write short notes on: [444] 8) ALOHA system  ) TCP header ","tcp netting header aloha ee",1
158,BCE,1,DSA,"",ioepng/157.png,"7. Differentiate ‘between adaptive ‘and non-adaptive routing. Explain shortest path finding algorithm in link state routing. G45) ","routing adaptive algorithm path shortest",1
159,BCE,1,DSA,"",ioepng/158.png,"3, What are the functions of LLC and MAC sub-layer? Discuss different farming ‘approaches used in data link layer. [2246]    ","llc layer farming mac data",1
160,BCE,1,DSA,"",ioepng/159.png,"4) 5. Discuss how CSMA works? Differentiate it with CSMA-CD. Explain the optical fiber ‘cabling standards with examples. [21244] ","csma optical fiber standards cabling",1
161,BCE,1,DSA,"",ioepng/160.png,"(6, Whats virus circuit switching? Describe the operation of Frame-Relay network, [246]    ","relay virus circuit network switching",1
162,BCE,1,DSA,"",ioepng/161.png,"8, Compare between leaky bucket and token bucket algorithm with the operation how token ‘bucket works. +5] ","bucket token leaky algorithm operation",1
163,BCE,1,DSA,"",ioepng/162.png,"9. What are the major problems with existing IPv4 network? Explain IPv4 addressing and sub-netting with example. [+4]  10, Write short notes on: [444] ‘) ALOHA system ","ipv4 network problems addressing 444",1
164,BCE,1,DSA,"",ioepng/163.png,"9. What are the major problems with existing IPv4 network? Explain IPv4 addressing and sub-netting with example. [+4] ","ipv4 network netting problems addressing",1
165,BCE,1,DSA,"",ioepng/164.png,"4, How data transfer occurs in Ethernet network? Explain. (a ","ethernet network data transfer occurs",1
166,BCE,1,DSA,"",ioepng/165.png,"2. If you are assij;zed to design a LAN for Pulchowk Campus having 5 departments. Each  Aepartment wi'l have 100 computers locating in 5 rooms each equipped with 20 computers, Mike your own justification while selecting connecting devices and accessories, (62) ","lan rooms computers pulchowk design",1
167,BCE,1,DSA,"",ioepng/166.png,"What do you mean by ISDN and what is’ it contribution in the field of data communicatior:? Explain various types of multiplexing mechanism used in ‘communication. (3+5) ","isdn multiplexing communication communicatior data",1
168,BCE,1,DSA,"",ioepng/167.png,"4. Describe what do you understand by switching along with variow ‘mechanism, Explain the faul tolerance mechenism of FDL  vs types of switching (444) ","switching fdl mechanism variow types",1
169,BCE,1,DSA,"",ioepng/168.png,"» Gepartinegt ae 1 niet IP addresses to all computers of question no. 2 making each partment as « network. What wil be your approach? Explain with IP address ranges you are suggesting, gy ","ip network addresses gepartinegt ranges",1
170,BCE,1,DSA,"",ioepng/169.png,"1. Why network software should be in hierarchiel form? n? Explain in detail about OST layer. [345] D PPswmes ore eastern. tet paces ","hierarchiel network ost software layer",1
171,BCE,1,DSA,"",ioepng/170.png,"‘7 Why routing is essential in computer networking? Compare working of distance vector routing algorithm with link state routing algorithm, eo meee,  [2+6)    ","routing networking algorithm distance vector",1
172,BCE,1,DSA,"",ioepng/171.png,"+ 10. How does the protocol SMTP operate? Explain the procedures to make your network secured, (35) ","smtp protocol secured network 35",1
173,BCE,1,DSA,"",ioepng/172.png,"“a 5. Why access co rol of channel is essential? Compare operating detsils of IEEE 802.4 and TREE 802.5.  pee oo    ","802 channel ieee rol access",1
174,BCE,1,DSA,"",ioepng/173.png,"(6. Explain along with the. ‘Packet format shout the virtual circuit connection of X.25. [4+4) . wee    ","packet virtual circuit connection format",1
175,BCE,1,DSA,"",ioepng/174.png,"‘8. Explain in deta’! about IP frame format, rH    ","ip deta frame format rh",1
176,BCE,1,DSA,"",ioepng/175.png,"   ems  8. Explain in detail about P frame format, - [3] ","frame format ems explain",1
177,BCE,1,DSA,"",ioepng/176.png,"5: a) Give the reason why the current world is moving to IPv6 adressing mechanism. Describe the Irv address types wit is representation forma. You are given te IPvd ‘dren Block 203.71.53.026; assign the IP subnet for he following network. [24246]  SRS: 2 Hone     ","ipv6 ip subnet ipvd address",1
178,BCE,1,DSA,"",ioepng/177.png,"1. 8}, Why do communication process within computer network is divided into layer? How the process of data encepsulaton occurs in trenemission mode described by seven layers of OS! model. Conmpare OST mode! wits TCPAP model. [2H] ","layers layer tcpap communication network",1
179,BCE,1,DSA,"",ioepng/178.png,"'b) Differentiate between circuit switching and packet switching techy logy. Explain the cperation bow switched virtual eituit in frame relay netw. kia caablihed, naiatained and teardown, Ref    ","relay switching circuit switched packet",1
180,BCE,1,DSA,"",ioepng/179.png,"') What is client/server networking? Explain Active Networking model framework a ‘comparing with traditional legacy network, os ","networking network client server framework",1
181,BCE,1,DSA,"",ioepng/180.png,"+b) Write short notes on (any two) B43] 4) TCP Sliding Window Protocol : 5) Secete Key Algorta: DES ISDN Sipaling and ATM AAL  {vy ICM Message Typen        ","tcp b43 protocol window sipaling",1
182,BCE,1,DSA,"",ioepng/181.png,"   4. a) What is unicast and multicast routing? Describe the concept of entimality principle. ‘Describe how the routers in its link state routing eome into filly ad icency tate. [2*6]    ","routing entimality multicast unicast routers",1
183,BCE,1,DSA,"",ioepng/182.png,"35% 3. “AY Describe the $02.3 Eshemet standard for CSMA/CD sand compare it with 802.4 token. > bus technology, Explain how DSSS technique is applied in wireless trmsnvsson. (543) ","802 dsss csma trmsnvsson standard",1
184,BCE,1,DSA,"",ioepng/183.png,"') Calculate SNR and maximum channel capacity of a cat6 channel haviny bandwidth 300 Miz with 2mW and 200 pW as signal and noise power respectively [a4 ","snr bandwidth cat6 channel capacity",1
185,BCE,1,DSA,"",ioepng/184.png,"+) What are the factors that emtse congestion within WAN? Propo’ > your best trafic shaping approach to manage congestion in packet switched netic 6)    ","congestion wan emtse packet netic",1
186,BCE,1,DSA,"",ioepng/185.png,"     2. a) What are the services provided by data link layer? Explain any ont methods of ‘framing and flow contol. (24349) ","services data layer framing flow",1
187,BCE,1,DSA,"",ioepng/186.png,"7. Suppose the network 200.168.10.0/24 is subnetted to create 7 subnetworks and an IP address 200.168.10.177 is assigned to a host computer. Determine the subnet mask, network address, broadcast address, usable host range and in which subnet the given host lies. {19} ","subnet subnetworks subnetted ip network",1
188,BCE,1,DSA,"",ioepng/187.png,"1, What are th reasons for using layered protocols? Explsin the layers of OSI Reference Mode! With appropriate figure. 28) ","protocols layered layers osi reasons",1
189,BCE,1,DSA,"",ioepng/188.png,"‘5. Consider the delay of pure ALOHA. versus slotted ALOHA at low load, Which one is less? Explain your answer, B) ","aloha delay slotted pure low",1
190,BCE,1,DSA,"",ioepng/189.png,"4. List two advantages and two disadvantages of having international standards for network protocols. Compare and explain the different types of transmitting media with appropriate figure? (+8) ","protocols disadvantages standards advantages transmitting",1
191,BCE,1,DSA,"",ioepng/190.png,"   ‘Network servers,  2. Way do we need the network servers? Expiain brieily the different types of . 24] ","servers network 24 types need",1
192,BCE,1,DSA,"",ioepng/191.png,"8, Explain the Datagram Format of IP’V4 with the appropriate figure. What is the minimum header length of IP datagram format? [10 +2] ","datagram ip length format minimum",1
193,BCE,1,DSA,"",ioepng/192.png,"‘6, Explain the working principle of FDDI with FDDI specifications, FDDI devices, and FDDI fault tolerance 19] ","fddi fault specifications devices tolerance",1
194,BCE,1,DSA,"",ioepng/193.png,"9. Explain the working principle of Message Handling System (MHS) X.4000 protocol. [10] ","protocol mhs handling message 4000",1
195,BCE,1,DSA,"",ioepng/194.png,"3. Why we need RAID in the computer networks? Define and discuss the difference between RAID 0, RAID 1, and RAID 5. [246] ","raid networks discuss computer need",1
196,BCE,1,DSA,"",ioepng/195.png,"1 DB and Dihee 4 gisPartments A, B, C and D the department A has 23 hosts, B has 16, C PS Zanind D bas 13 hosts. You are given a network 202.70.91.024, Perform the subneting  in buch a way that the IP address  Subnet mask, network addtess,  When thee     wastage in each department is minimum and find out the broadcast, and usable host range in each department. [14] ","subneting subnet hosts network broadcast",1
197,BCE,1,DSA,"",ioepng/196.png,"mrastage Gnd LCP use port numbers to identify the destination entity when delivering a  message. Give two  numbers), designed.  instead of using process IDs,  reasons for why these protocols invented a new  which already existed when thes  abstract ID (port 86 protocols were B) ","port lcp protocols mrastage process",1
198,BCE,1,DSA,"",ioepng/197.png,"1. Explain five instances of how networks area part of your life today, Though we have MAC adres, why we use IP adress to represent the hos in networks? Explain your answer [53] ","ip networks area hos mac",1
199,BCE,1,DSA,"",ioepng/198.png,"» opraptinre paces and trailers, and how do they get added and removed? Explain: with spproprate gue (3)  . Bemlein the eceas.     ","opraptinre trailers removed spproprate paces",1
200,BCE,1,DSA,"",ioepng/199.png,"   5 Explain the working principle of diferent types of network devices Repeater, HUB, Bridge, Switch, and Router.  {19} ","repeater network router devices hub",1
201,BCE,1,DSA,"",ioepng/200.png,"ith its inter oes vag anPanies developed the ISDN? Explain the working principle of ISDN’ | ‘with its interface and the functional group. (2+8]  ee    ","isdn interface principle anpanies functional",1
202,BCE,1,DSA,"",ioepng/201.png,"ee eer arecongeston occur inthe network? Explain the different approach of the congestion | © contol algorithm  (3+7] ","congestion network algorithm eer ee",1
203,BCE,1,DSA,"",ioepng/202.png,"9. Explain the working principle of FTAM protocol. (9) ","ftam protocol principle explain working",1
204,BCE,1,DSA,"",ioepng/203.png,"Explain the Major IP services in the computer networks? (19) ","ip networks services computer major",1
205,BCE,1,DSA,"",ioepng/204.png,"   © Suppose an IP address 202.70.91.145 is assigned to,a network that is subnened to reate’§ subnetworks..Dejermine the subnet mask, network address and host address range for each subnetworks,  (sh ","subnet subnetworks ip network address",1
206,BCE,1,DSA,"",ioepng/205.png,"Pare i Giasam of OST model ang explsn the network funetonsperfonned in layer 3° 5 and layer 4 B53)  a       ","network layer funetonsperfonned model ost",1
207,BCE,1,DSA,"",ioepng/206.png,"   Explaip and distinguish between Permanent Virtual Call and Virtul Call channel options ofX.2$ berwork, What are the purposes of LCGN and LCN felds of data packet header? (53)              ","lcgn lcn packet channel virtual",1
208,BCE,1,DSA,"",ioepng/207.png,"> What is the fundamental difference’ betwee systems of communication protocols? Discuss Betcha  peetsto-peer priority and non-priotty briefly peer-to-peer priority protocols.        ","protocols betwee peer priority communication",1
209,BCE,1,DSA,"",ioepng/208.png,"“AM the indicated network hardware devices: one operating in layer 1, one in layer 2, one ia layer 3 and other layer 4 and explain each ofthe. u-7  a Renton tedcm,    ","devices network layer hardware operating",1
210,BCE,1,DSA,"",ioepng/209.png,"Differentiate between router, gateway and brids ‘haw is bridge table maintained?” ane       ","bridge gateway brids router table",1
211,BCE,1,DSA,"",ioepng/210.png,"   +. Explain briefly the indicated satellite,  a Wha fe he mek     wansmission media: coatial cable, line-ofsight, and ","satellite cable media ofsight line",1
212,BCE,1,DSA,"",ioepng/211.png,"® Nhat is the difference between static and soitng with appropri exemple oe  dynamic routing? Explain the distance vector      ","nhat routing static distance soitng",1
213,BCE,1,DSA,"",ioepng/212.png,"   10, Write short notes on:      ","notes 10 write short",1
214,BCE,1,DSA,"",ioepng/213.png," taonoalphaber vorion or een nd Public keys, Discuss with exaimple, how ‘onealphabetie version of Caesar cipher works? gis «     ","taonoalphaber cipher caesar onealphabetie vorion",1
215,BCE,1,DSA,"",ioepng/214.png,"      ») ALOHA  a)  20, Write short notes on: ISDN ","aloha notes isdn write 20",1
